epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,1167.16,0.15991,0.14703,0.77429,0.99751,1,0.995,0.995,0.10452,0.08756,0.81644,0.000225589,0.000225589,0.000225589
163,1173.7,0.16044,0.1463,0.77479,0.99781,1,0.995,0.99416,0.09142,0.07262,0.81627,0.000220089,0.000220089,0.000220089
164,1181.44,0.16386,0.14945,0.7788,0.99668,1,0.995,0.99468,0.11624,0.09273,0.81705,0.00021459,0.00021459,0.00021459
165,1188.53,0.16112,0.14977,0.77426,0.99614,1,0.995,0.995,0.10878,0.09553,0.81772,0.00020909,0.00020909,0.00020909
166,1195.69,0.15653,0.14577,0.77745,0.99675,0.99644,0.995,0.995,0.09806,0.11543,0.81707,0.000203591,0.000203591,0.000203591
167,1203.67,0.1564,0.14734,0.77396,0.99713,1,0.995,0.99451,0.10698,0.10984,0.81764,0.000198091,0.000198091,0.000198091
168,1210.3,0.15865,0.14798,0.77444,0.99805,1,0.995,0.99462,0.08914,0.11807,0.81634,0.000192592,0.000192592,0.000192592
169,1218.02,0.16051,0.14788,0.77503,0.99759,1,0.995,0.99462,0.08224,0.10556,0.81621,0.000187092,0.000187092,0.000187092
170,1224.7,0.1612,0.15184,0.77121,0.99693,1,0.995,0.99438,0.09481,0.10954,0.81589,0.000181593,0.000181593,0.000181593
171,1232.32,0.15873,0.14398,0.77328,0.99769,1,0.995,0.99482,0.0972,0.09069,0.81597,0.000176094,0.000176094,0.000176094
172,1238.88,0.14706,0.13925,0.77379,0.99759,1,0.995,0.99408,0.09115,0.10606,0.81671,0.000170594,0.000170594,0.000170594
173,1246.7,0.14965,0.1423,0.77242,0.99746,1,0.995,0.9933,0.09427,0.10753,0.81593,0.000165095,0.000165095,0.000165095
174,1253.81,0.15216,0.14053,0.77629,0.99738,1,0.995,0.99445,0.0904,0.10273,0.81591,0.000159595,0.000159595,0.000159595
175,1261.22,0.15213,0.14031,0.77667,0.99751,1,0.995,0.99441,0.08808,0.09825,0.81641,0.000154096,0.000154096,0.000154096
176,1269.12,0.14786,0.13527,0.7729,0.99802,1,0.995,0.99462,0.08881,0.10283,0.81572,0.000148596,0.000148596,0.000148596
177,1275.87,0.14807,0.13554,0.76681,0.99734,1,0.995,0.99392,0.08193,0.0826,0.81561,0.000143097,0.000143097,0.000143097
178,1283.58,0.15045,0.13514,0.77329,0.99721,1,0.995,0.99419,0.09233,0.07579,0.81601,0.000137597,0.000137597,0.000137597
179,1290.17,0.14638,0.13572,0.77486,0.99763,1,0.995,0.995,0.09698,0.10096,0.81599,0.000132098,0.000132098,0.000132098
180,1298.2,0.15125,0.13849,0.77679,0.99782,1,0.995,0.995,0.08443,0.10278,0.81667,0.000126598,0.000126598,0.000126598
181,1304.78,0.14508,0.13685,0.77138,0.99755,1,0.995,0.99455,0.08984,0.11899,0.81852,0.000121099,0.000121099,0.000121099
182,1312.49,0.14041,0.13551,0.77904,0.99729,1,0.995,0.99489,0.09667,0.1055,0.81678,0.0001156,0.0001156,0.0001156
183,1319.14,0.14247,0.13257,0.77608,0.99787,1,0.995,0.99423,0.08597,0.1033,0.81658,0.0001101,0.0001101,0.0001101
184,1326.61,0.14073,0.13186,0.77336,0.99753,1,0.995,0.99432,0.0778,0.10167,0.81724,0.000104601,0.000104601,0.000104601
185,1334.41,0.14722,0.13854,0.77391,0.99783,1,0.995,0.99459,0.08958,0.0987,0.81807,9.91012e-05,9.91012e-05,9.91012e-05
186,1341.2,0.14234,0.13283,0.77918,0.99784,1,0.995,0.99462,0.0851,0.10567,0.81767,9.36017e-05,9.36017e-05,9.36017e-05
187,1348.91,0.1432,0.1351,0.77479,0.99803,1,0.995,0.995,0.08952,0.12386,0.81761,8.81023e-05,8.81023e-05,8.81023e-05
188,1355.52,0.14388,0.13496,0.77225,0.99762,1,0.995,0.99462,0.08961,0.10528,0.81747,8.26028e-05,8.26028e-05,8.26028e-05
