epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,1103.97,0.24749,0.22574,0.78365,0.99683,1,0.995,0.98863,0.1811,0.15771,0.83698,0.00050606,0.00050606,0.00050606
167,1111.55,0.23377,0.23334,0.78967,0.99745,1,0.995,0.98875,0.18832,0.1733,0.8346,0.000502394,0.000502394,0.000502394
168,1117.77,0.22355,0.21531,0.79251,0.99727,1,0.995,0.98441,0.21001,0.16821,0.83637,0.000498728,0.000498728,0.000498728
169,1124.93,0.25407,0.23494,0.79133,0.9964,1,0.995,0.99002,0.18463,0.17425,0.83298,0.000495062,0.000495062,0.000495062
170,1131.5,0.23088,0.22119,0.78153,0.9961,1,0.995,0.99185,0.14052,0.1519,0.83152,0.000491395,0.000491395,0.000491395
171,1138.31,0.23279,0.21848,0.78108,0.99615,1,0.995,0.98799,0.18814,0.1606,0.83508,0.000487729,0.000487729,0.000487729
172,1144.79,0.23422,0.22086,0.77841,0.99664,0.99694,0.995,0.98758,0.17641,0.15505,0.83634,0.000484063,0.000484063,0.000484063
173,1150.84,0.23403,0.21752,0.78337,0.99412,0.99895,0.995,0.98923,0.17139,0.14354,0.83368,0.000480396,0.000480396,0.000480396
174,1157.66,0.22171,0.21267,0.78367,0.99624,1,0.995,0.99137,0.17488,0.1509,0.83514,0.00047673,0.00047673,0.00047673
175,1163.93,0.2173,0.20986,0.77236,0.99692,1,0.995,0.99076,0.14993,0.1315,0.8311,0.000473064,0.000473064,0.000473064
176,1171.15,0.21427,0.21554,0.79214,0.99615,1,0.995,0.98979,0.16031,0.13585,0.83151,0.000469397,0.000469397,0.000469397
177,1177.42,0.22773,0.21519,0.77251,0.99519,1,0.995,0.98627,0.15267,0.13644,0.83124,0.000465731,0.000465731,0.000465731
178,1184.85,0.21361,0.2027,0.79334,0.99447,0.99876,0.995,0.99255,0.14875,0.12886,0.83111,0.000462065,0.000462065,0.000462065
179,1190.91,0.22709,0.22745,0.782,0.9974,1,0.995,0.9878,0.18738,0.14875,0.83436,0.000458399,0.000458399,0.000458399
180,1198.32,0.21672,0.21288,0.7855,0.99731,1,0.995,0.99005,0.16121,0.13832,0.83248,0.000454732,0.000454732,0.000454732
181,1204.54,0.22013,0.21262,0.78167,0.99769,1,0.995,0.98924,0.17812,0.13094,0.83431,0.000451066,0.000451066,0.000451066
182,1211.34,0.20358,0.21372,0.7818,0.99803,1,0.995,0.9867,0.21425,0.15516,0.84141,0.0004474,0.0004474,0.0004474
183,1217.82,0.2551,0.23339,0.78621,0.99839,1,0.995,0.98665,0.15136,0.16032,0.83183,0.000443733,0.000443733,0.000443733
184,1223.92,0.22056,0.21302,0.77251,0.9976,1,0.995,0.98922,0.15004,0.15425,0.83226,0.000440067,0.000440067,0.000440067
185,1230.82,0.20755,0.206,0.78276,0.99706,1,0.995,0.98876,0.16604,0.15047,0.83482,0.000436401,0.000436401,0.000436401
186,1236.92,0.2116,0.20006,0.7836,0.99767,1,0.995,0.98845,0.17173,0.14398,0.83517,0.000432734,0.000432734,0.000432734
187,1244.29,0.20941,0.20141,0.78384,0.99746,1,0.995,0.98682,0.17038,0.13845,0.83448,0.000429068,0.000429068,0.000429068
